url,school,department,number,semester,instructor,schedule
https://www.bu.edu/academics/cas/courses/cas-aa-114,CAS,AA,114,FALL 2025,Becker,MWF 1:25 pm-2:15 pm
https://www.bu.edu/academics/cas/courses/cas-aa-114,CAS,AA,114,FALL 2025,Becker,M 3:35 pm-4:25 pm
https://www.bu.edu/academics/cas/courses/cas-aa-114,CAS,AA,114,FALL 2025,Becker,M 4:40 pm-5:30 pm
https://www.bu.edu/academics/cas/courses/cas-aa-114,CAS,AA,114,FALL 2025,Becker,W 9:05 am-9:55 am
https://www.bu.edu/academics/cas/courses/cas-aa-114,CAS,AA,114,FALL 2025,Becker,W 10:10 am-11:00 am
https://www.bu.edu/academics/cas/courses/cas-aa-132,CAS,AA,132,,,
https://www.bu.edu/academics/cas/courses/cas-aa-215,CAS,AA,215,,,
https://www.bu.edu/academics/cas/courses/cas-aa-225,CAS,AA,225,,,
https://www.bu.edu/academics/cas/courses/cas-aa-103,CAS,AA,103,SPRG 2026,James,TR 12:30 pm-1:45 pm
https://www.bu.edu/academics/cas/courses/cas-aa-112,CAS,AA,112,SPRG 2026,Williams,TR 11:00 am-12:15 pm
https://www.bu.edu/academics/cas/courses/cas-aa-221,CAS,AA,221,,,
https://www.bu.edu/academics/cas/courses/cas-aa-207,CAS,AA,207,FALL 2025,Grundy,TR 9:30 am-10:45 am
https://www.bu.edu/academics/cas/courses/cas-aa-207,CAS,AA,207,FALL 2025,Grundy,F 9:05 am-9:55 am
https://www.bu.edu/academics/cas/courses/cas-aa-207,CAS,AA,207,FALL 2025,Grundy,F 10:10 am-11:00 am
https://www.bu.edu/academics/cas/courses/cas-aa-207,CAS,AA,207,FALL 2025,Grundy,F 12:20 pm-1:10 pm
https://www.bu.edu/academics/cas/courses/cas-aa-207,CAS,AA,207,FALL 2025,Grundy,F 1:25 pm-2:15 pm
https://www.bu.edu/academics/cas/courses/cas-aa-207,CAS,AA,207,SPRG 2026,Grundy,TR 9:30 am-10:45 am
https://www.bu.edu/academics/cas/courses/cas-aa-207,CAS,AA,207,SPRG 2026,Grundy,W 9:05 am-9:55 am
https://www.bu.edu/academics/cas/courses/cas-aa-207,CAS,AA,207,SPRG 2026,Grundy,W 10:10 am-11:00 am
https://www.bu.edu/academics/cas/courses/cas-aa-207,CAS,AA,207,SPRG 2026,Grundy,W 1:25 pm-2:15 pm
https://www.bu.edu/academics/cas/courses/cas-aa-207,CAS,AA,207,SPRG 2026,Grundy,W 12:20 pm-1:10 pm
https://www.bu.edu/academics/cas/courses/cas-aa-301,CAS,AA,301,SPRG 2026,Cunningham,TR 2:00 pm-3:15 pm
https://www.bu.edu/academics/cas/courses/cas-aa-297,CAS,AA,297,,,
https://www.bu.edu/academics/cas/courses/cas-aa-313,CAS,AA,313,,,
https://www.bu.edu/academics/cas/courses/cas-aa-311,CAS,AA,311,,,
https://www.bu.edu/academics/cas/courses/cas-aa-305,CAS,AA,305,,,
https://www.bu.edu/academics/cas/courses/cas-aa-234,CAS,AA,234,FALL 2025,Scott,TR 11:00 am-12:15 pm
https://www.bu.edu/academics/cas/courses/cas-aa-234,CAS,AA,234,SPRG 2026,Scott,TR 9:30 am-10:45 am
https://www.bu.edu/academics/cas/courses/cas-aa-296,CAS,AA,296,FALL 2025,Guillory,MWF 10:10 am-11:00 am
https://www.bu.edu/academics/cas/courses/cas-aa-316,CAS,AA,316,SPRG 2026,Smythe-Johnson,MWF 10:10 am-11:00 am
https://www.bu.edu/academics/cas/courses/cas-aa-237,CAS,AA,237,,,
https://www.bu.edu/academics/cas/courses/cas-aa-294,CAS,AA,294,,,
https://www.bu.edu/academics/cas/courses/cas-aa-356,CAS,AA,356,SPRG 2026,Guillory,TR 11:00 am-12:15 pm
https://www.bu.edu/academics/cas/courses/cas-aa-335,CAS,AA,335,FALL 2025,Grundy,T 12:30 pm-3:15 pm
https://www.bu.edu/academics/cas/courses/cas-aa-348,CAS,AA,348,,,
https://www.bu.edu/academics/cas/courses/cas-aa-382,CAS,AA,382,SPRG 2026,Thornton,TR 9:30 am-10:45 am
https://www.bu.edu/academics/cas/courses/cas-aa-383,CAS,AA,383,,,
https://www.bu.edu/academics/cas/courses/cas-aa-385,CAS,AA,385,,,
https://www.bu.edu/academics/cas/courses/cas-aa-396,CAS,AA,396,,,
https://www.bu.edu/academics/cas/courses/cas-aa-388,CAS,AA,388,SPRG 2026,Scott,TR 3:30 pm-4:45 pm
https://www.bu.edu/academics/cas/courses/cas-aa-416,CAS,AA,416,FALL 2025,Hill,T 3:30 pm-6:15 pm
https://www.bu.edu/academics/cas/courses/cas-aa-404,CAS,AA,404,,,
https://www.bu.edu/academics/cas/courses/cas-aa-408,CAS,AA,408,FALL 2025,Zabala Ortiz,M 12:30 pm-3:15 pm
https://www.bu.edu/academics/cas/courses/cas-aa-408,CAS,AA,408,SPRG 2026,Grundy,T 12:30 pm-3:15 pm
https://www.bu.edu/academics/cas/courses/cas-aa-319,CAS,AA,319,FALL 2025,Piston,MW 4:30 pm-6:15 pm
https://www.bu.edu/academics/cas/courses/cas-aa-430,CAS,AA,430,FALL 2025,James,MWF 2:30 pm-3:20 pm
https://www.bu.edu/academics/cas/courses/cas-aa-304,CAS,AA,304,FALL 2025,Mitchell,TR 2:00 pm-3:15 pm
https://www.bu.edu/academics/cas/courses/cas-aa-477,CAS,AA,477,,,
https://www.bu.edu/academics/cas/courses/cas-aa-488,CAS,AA,488,,,
https://www.bu.edu/academics/cas/courses/cas-aa-490,CAS,AA,490,,,
https://www.bu.edu/academics/cas/courses/cas-ah-111,CAS,AH,111,FALL 2025,Kahn,TR 11:00 am-12:15 pm
https://www.bu.edu/academics/cas/courses/cas-ah-111,CAS,AH,111,FALL 2025,Kahn,M 10:10 am-11:00 am
